Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate
M. Pašalić,Mario Pašalić,81,81,27500000,"CAM,CF,CM",CAM,Croatia,https://cdn.sofifa.net/players/223/273/23_60.png,27,188,82,2115,454,Atalanta,60000,46800000,CAM,2025,88,2020,-,Right,4,4,2,Croatia,https://cdn.sofifa.net/flags/hr.png,RM,15,Medium,Medium
N. Keïta,Naby Keïta,81,82,29500000,CM,CAM,Guinea,https://cdn.sofifa.net/players/220/971/23_60.png,27,172,64,2087,442,Liverpool,115000,56800000,SUB,2023,8,2018,-,Right,4,4,2,-,-,-,-,Medium,Medium
C. Tolisso,Corentin Tolisso,81,81,27500000,"CM,CDM",CM,France,https://cdn.sofifa.net/players/219/683/23_60.png,27,181,81,2193,457,Olympique Lyonnais,75000,52300000,CDM,2027,88,2022,-,Right,3,3,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium
H. Lozano,Hirving Lozano,81,81,28000000,RW,RW,Mexico,https://cdn.sofifa.net/players/221/992/23_60.png,26,175,70,2013,426,Napoli,69000,47600000,RW,2024,11,2019,-,Right,3,4,3,Mexico,https://cdn.sofifa.net/flags/mx.png,LW,22,High,Low
M. Politano,Matteo Politano,81,81,26000000,"RW,RM",RW,Italy,https://cdn.sofifa.net/players/216/409/23_60.png,28,171,67,1994,419,Napoli,72000,44200000,SUB,2024,21,2021,-,Left,4,4,2,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Low
A. Saint-Maximin,Allan Saint-Maximin,81,83,32500000,LM,CAM,France,https://cdn.sofifa.net/players/216/388/23_60.png,25,173,67,1916,419,Newcastle United,95000,64200000,LW,2026,10,2019,-,Right,4,5,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low
S. Fofana,Seko Fofana,81,81,27500000,CM,CM,Côte d'Ivoire,https://cdn.sofifa.net/players/216/320/23_60.png,27,185,74,2118,460,Racing Club de Lens,43000,52300000,CM,2024,8,2020,-,Right,4,4,2,-,-,-,-,High,High
Iñaki Williams,Iñaki Williams Arthuer,81,81,26500000,ST,ST,Ghana,https://cdn.sofifa.net/players/216/201/23_60.png,28,186,80,2055,443,Athletic Club de Bilbao,40000,55700000,ST,2028,9,2012,-,Right,2,4,2,-,https://cdn.sofifa.net/flags/gh.png,-,-,High,Medium
J. Musso,Juan Musso,81,82,20500000,GK,GK,Argentina,https://cdn.sofifa.net/players/214/979/23_60.png,28,191,93,1222,445,Atalanta,47000,36400000,RES,2025,1,2021,-,Right,3,1,1,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,12,Medium,Medium
B. Bourigeaud,Benjamin Bourigeaud,81,81,26000000,"RW,RM,LM",RW,France,https://cdn.sofifa.net/players/214/097/23_60.png,28,178,70,2194,459,Stade Rennais FC,66000,49400000,RW,2026,14,2017,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High
Y. En-Nesyri,Youssef En-Nesyri,80,85,31500000,ST,ST,Morocco,https://cdn.sofifa.net/players/235/410/23_60.png,25,188,78,1881,402,Sevilla FC,35000,68500000,ST,2025,15,2020,-,Left,3,3,2,Morocco,https://cdn.sofifa.net/flags/ma.png,ST,19,High,High
Javi Galán,Javier Galán Gil,80,80,20500000,LB,LB,Spain,https://cdn.sofifa.net/players/231/591/23_60.png,27,172,70,2042,435,RC Celta de Vigo,28000,43100000,LB,2026,17,2021,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
F. Neuhaus,Florian Neuhaus,80,84,29000000,CM,CM,Germany,https://cdn.sofifa.net/players/234/943/23_60.png,25,185,77,2030,433,Borussia Mönchengladbach,34000,51500000,RES,2024,32,2017,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
H. Barnes,Harvey Barnes,80,83,29000000,"LM,LW",CAM,England,https://cdn.sofifa.net/players/234/742/23_60.png,24,180,66,1971,428,Leicester City,77000,57300000,LM,2025,7,2016,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
A. Isak,Alexander Isak,80,85,33000000,ST,ST,Sweden,https://cdn.sofifa.net/players/233/731/23_60.png,22,192,77,1905,410,Newcastle United,90000,65200000,SUB,2028,14,2022,-,Right,5,4,2,Sweden,https://cdn.sofifa.net/flags/se.png,ST,9,High,Low
L. Sinisterra,Luis Sinisterra,80,86,33500000,"LW,LM",LW,Colombia,https://cdn.sofifa.net/players/233/500/23_60.png,23,172,60,2035,435,Leeds United,48000,70400000,RM,2027,23,2022,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/co.png,-,-,High,High
X. Schlager,Xaver Schlager,80,84,27500000,"CDM,CM",CDM,Austria,https://cdn.sofifa.net/players/233/195/23_60.png,24,174,78,2058,441,RB Leipzig,46000,48800000,SUB,2026,24,2022,-,Left,3,3,2,Austria,https://cdn.sofifa.net/flags/at.png,CDM,23,High,High
D. Kamada,Daichi Kamada,80,82,26500000,"CAM,CF",CAM,Japan,https://cdn.sofifa.net/players/232/730/23_60.png,25,184,76,1960,411,Eintracht Frankfurt,34000,47000000,LM,2023,15,2017,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/jp.png,-,-,Medium,Medium
M. Arambarri,Mauro Arambarri,80,85,28000000,"CDM,CM",CDM,Uruguay,https://cdn.sofifa.net/players/232/665/23_60.png,26,175,74,2006,426,Getafe CF,32000,60900000,CDM,2023,18,2018,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium
A. Lafont,Alban Lafont,80,85,25500000,GK,GK,France,https://cdn.sofifa.net/players/231/691/23_60.png,23,196,90,1259,438,FC Nantes,21000,52900000,GK,2024,1,2021,-,Right,3,1,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
Maikel Catarino,Maikel Renan Catarino Fagundes,80,80,21000000,"RB,RM",RB,Brazil,https://cdn.sofifa.net/players/230/201/23_60.png,26,177,75,1954,421,Sport Club Corinthians Paulista,34000,39900000,RB,2025,4,2022,-,Right,3,3,1,Brazil,https://cdn.sofifa.net/flags/br.png,RB,2,High,Medium
Renato Sanches,Renato Júnior Luz Sanches,80,85,31500000,"CM,RM",CAM,Portugal,https://cdn.sofifa.net/players/230/767/23_60.png,24,176,70,2215,474,Paris Saint-Germain,72000,60600000,SUB,2027,18,2022,-,Right,4,4,3,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,High
Arthur,Arthur Henrique Ramos Oliveira Melo,80,82,26500000,"CM,CDM",CM,Brazil,https://cdn.sofifa.net/players/230/658/23_60.png,25,171,73,2129,443,Liverpool,100000,0,SUB,2023,29,2020,TRUE,Right,3,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
Tony Abranjes,Tony Josimar Abranjes Meneses,80,80,7000000,CB,CB,Brazil,https://cdn.sofifa.net/players/230/313/23_60.png,34,179,80,1788,385,Internacional,32000,13300000,CB,2025,3,2022,-,Right,3,2,1,Brazil,https://cdn.sofifa.net/flags/br.png,SUB,14,Medium,Medium
Laure Santeiro,Laureano Thomas Santeiro Marre,80,80,25000000,"CAM,LM,LW",CAM,Brazil,https://cdn.sofifa.net/players/230/271/23_60.png,22,171,63,1834,382,Fluminense,27000,47500000,CAM,2025,9,2022,-,Left,5,4,1,Brazil,https://cdn.sofifa.net/flags/br.png,SUB,16,Medium,Medium
Héniton Pires,Héniton Enaldo Pires Tramontino,80,80,16500000,GK,GK,Brazil,https://cdn.sofifa.net/players/230/204/23_60.png,26,182,74,1264,435,Flamengo,35000,29700000,GK,2025,1,2022,-,Right,3,1,1,Brazil,https://cdn.sofifa.net/flags/br.png,SUB,12,Medium,Medium
M. Guendouzi,Mattéo Guendouzi,80,86,33000000,"CM,CDM",CDM,France,https://cdn.sofifa.net/players/236/496/23_60.png,23,185,68,2127,452,Olympique de Marseille,41000,69300000,RF,2025,6,2022,-,Right,3,4,1,France,https://cdn.sofifa.net/flags/fr.png,SUB,20,Medium,High
L. Bailey,Leon Bailey,80,83,29000000,"RM,RW,LW",CAM,Jamaica,https://cdn.sofifa.net/players/229/906/23_60.png,24,178,77,1991,421,Aston Villa,77000,57300000,RW,2025,31,2021,-,Left,3,4,3,-,-,-,-,High,Low
A. Wan-Bissaka,Aaron Wan-Bissaka,80,83,26500000,RB,RB,England,https://cdn.sofifa.net/players/229/880/23_60.png,24,183,72,1942,424,Manchester United,90000,52300000,SUB,2024,29,2019,-,Right,2,3,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
D. Sow,Djibril Sow,80,82,26500000,"CM,CDM",CM,Switzerland,https://cdn.sofifa.net/players/229/752/23_60.png,25,184,76,2122,458,Eintracht Frankfurt,34000,47000000,CDM,2024,8,2019,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,High
Mario Hermoso,Mario Hermoso Canseco,80,82,22500000,"CB,LB",CB,Spain,https://cdn.sofifa.net/players/229/668/23_60.png,27,184,76,1991,429,Atlético de Madrid,53000,47800000,SUB,2024,22,2019,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High
D. Calabria,Davide Calabria,80,83,25500000,RB,RB,Italy,https://cdn.sofifa.net/players/228/881/23_60.png,25,177,70,2033,432,AC Milan,60000,45300000,RB,2025,2,2015,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/it.png,-,-,High,High
E. Álvarez,Edson Álvarez,80,84,27500000,"CDM,CM",CB,Mexico,https://cdn.sofifa.net/players/235/844/23_60.png,24,187,73,1979,432,Ajax,17000,40600000,CDM,2025,4,2019,-,Right,3,2,2,Mexico,https://cdn.sofifa.net/flags/mx.png,CDM,4,Low,High
T. Koopmeiners,Teun Koopmeiners,80,84,30000000,"CM,CDM",CM,Netherlands,https://cdn.sofifa.net/players/240/679/23_60.png,24,183,77,2170,451,Atalanta,49000,53300000,CM,2025,7,2021,-,Left,2,3,2,Netherlands,https://cdn.sofifa.net/flags/nl.png,SUB,20,Medium,Medium
B. Kamara,Boubacar Kamara,80,86,31000000,CDM,CDM,France,https://cdn.sofifa.net/players/236/987/23_60.png,22,184,68,1975,427,Aston Villa,69000,65099999,CDM,2027,44,2022,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High
V. Tsygankov,Viktor Tsygankov,80,85,32000000,RM,CAM,Ukraine,https://cdn.sofifa.net/players/244/369/23_60.png,24,178,72,1975,422,Dynamo Kyiv,1000,72800000,RM,2023,15,2015,-,Left,4,4,2,Ukraine,https://cdn.sofifa.net/flags/ua.png,LM,15,High,Medium
M. Dmitrović,Marko Dmitrović,80,81,16000000,GK,GK,Serbia,https://cdn.sofifa.net/players/227/290/23_60.png,30,194,94,1299,432,Sevilla FC,25000,34800000,SUB,2025,1,2021,-,Left,2,1,1,-,-,-,-,Medium,Medium
I. McAdoo,Isaac McAdoo,80,83,24500000,CB,CB,England,https://cdn.sofifa.net/players/269/768/23_60.png,26,184,89,1834,400,AFC Richmond,54000,48400000,CB,2025,5,2018,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Low,High
J. Frimpong,Jeremie Frimpong,80,86,31500000,"RB,RWB",RM,Netherlands,https://cdn.sofifa.net/players/253/149/23_60.png,21,171,64,2027,446,Bayer 04 Leverkusen,38000,59900000,RB,2025,30,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,High,Medium
Nuno Mendes,Nuno Alexandre Tavares Mendes,80,88,44000000,"LB,LWB",LB,Portugal,https://cdn.sofifa.net/players/252/145/23_60.png,20,176,70,2065,444,Paris Saint-Germain,54000,90200000,LWB,2026,25,2021,-,Left,4,3,1,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,2,High,Medium
S. Botman,Sven Botman,80,86,31000000,CB,CB,Netherlands,https://cdn.sofifa.net/players/251/809/23_60.png,22,193,81,1741,381,Newcastle United,74000,65099999,CB,2027,4,2022,-,Left,3,2,2,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,High
J. Timber,Jurriën Timber,80,88,44500000,"CB,RB",CB,Netherlands,https://cdn.sofifa.net/players/251/805/23_60.png,21,179,77,1950,435,Ajax,14000,71200000,CB,2025,2,2019,-,Right,3,3,2,Netherlands,https://cdn.sofifa.net/flags/nl.png,SUB,2,High,Medium
Renan Lodi,Renan Augusto Lodi dos Santos,80,85,29500000,"LB,LM",LWB,Brazil,https://cdn.sofifa.net/players/251/573/23_60.png,24,173,68,2151,456,Nottingham Forest,46000,0,SUB,2023,32,2019,TRUE,Left,3,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium
Reguilón,Sergio Reguilón Rodríguez,80,83,25500000,"LWB,LB",LWB,Spain,https://cdn.sofifa.net/players/245/279/23_60.png,25,178,68,2020,438,Atlético de Madrid,82000,0,SUB,2023,3,2020,TRUE,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
V. Coufal,Vladimír Coufal,80,80,18500000,"RB,RWB",RB,Czech Republic,https://cdn.sofifa.net/players/244/470/23_60.png,29,175,76,2072,436,West Ham United,73000,35200000,RB,2023,5,2020,-,Right,3,3,1,Czech Republic,https://cdn.sofifa.net/flags/cz.png,RM,5,High,High
A. Rrahmani,Amir Rrahmani,80,80,18000000,CB,CB,Kosovo,https://cdn.sofifa.net/players/244/263/23_60.png,28,192,83,1788,393,Napoli,57000,30600000,CB,2024,13,2020,-,Right,4,2,1,-,-,-,-,High,Medium
S. McTominay,Scott McTominay,80,83,25000000,"CDM,CM",CDM,Scotland,https://cdn.sofifa.net/players/237/238/23_60.png,25,193,88,2093,449,Manchester United,100000,49400000,CDM,2025,39,2013,-,Right,3,3,2,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,CB,4,Medium,High
L. Majer,Lovro Majer,80,85,31500000,CM,CAM,Croatia,https://cdn.sofifa.net/players/244/261/23_60.png,24,178,76,2067,433,Stade Rennais FC,47000,62200000,CM,2026,21,2021,-,Left,3,4,1,Croatia,https://cdn.sofifa.net/flags/hr.png,SUB,17,High,Medium
W. Saliba,William Saliba,80,87,40000000,CB,CB,France,https://cdn.sofifa.net/players/243/715/23_60.png,21,192,85,1834,414,Arsenal,58000,84000000,CB,2024,12,2019,-,Right,3,2,2,France,https://cdn.sofifa.net/flags/fr.png,CB,17,Medium,High
D. Livaković,Dominik Livaković,80,83,20500000,GK,GK,Croatia,https://cdn.sofifa.net/players/241/671/23_60.png,27,187,79,1319,444,Dinamo Zagreb,1000,46600000,GK,2024,40,2015,-,Right,2,1,2,Croatia,https://cdn.sofifa.net/flags/hr.png,GK,1,Medium,Medium
R. Baku,Ridle Baku,80,84,30000000,"RM,RB,CM",RM,Germany,https://cdn.sofifa.net/players/240/709/23_60.png,24,176,75,2122,457,VfL Wolfsburg,46000,53300000,RB,2025,20,2020,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium
N. González,Nicolás González,80,85,32000000,"RW,LW",LM,Argentina,https://cdn.sofifa.net/players/240/690/23_60.png,24,180,72,1971,425,Fiorentina,58000,56800000,RW,2026,22,2021,-,Left,2,4,2,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium
E. Smith Rowe,Emile Smith Rowe,80,87,43000000,"LM,CAM",CAM,England,https://cdn.sofifa.net/players/240/273/23_60.png,21,182,72,1830,399,Arsenal,65000,90300000,SUB,2026,10,2017,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High
J. Clauss,Jonathan Clauss,80,80,18500000,RWB,RWB,France,https://cdn.sofifa.net/players/239/093/23_60.png,29,178,69,2095,446,Olympique de Marseille,45000,35200000,RM,2025,7,2022,-,Right,3,3,1,France,https://cdn.sofifa.net/flags/fr.png,SUB,15,High,High
W. McKennie,Weston McKennie,80,85,31500000,"CM,LM",CM,United States,https://cdn.sofifa.net/players/238/744/23_60.png,23,183,84,2212,473,Juventus,90000,55900000,CM,2025,8,2021,-,Right,3,3,2,United States,https://cdn.sofifa.net/flags/us.png,CM,8,High,High
N. Milenković,Nikola Milenković,80,85,29000000,CB,CB,Serbia,https://cdn.sofifa.net/players/238/095/23_60.png,24,195,90,1766,397,Fiorentina,48000,51500000,CB,2027,4,2017,-,Right,3,2,2,-,-,-,-,Medium,High
N. Aguerd,Nayef Aguerd,80,83,24500000,CB,CB,Morocco,https://cdn.sofifa.net/players/244/749/23_60.png,26,188,76,1898,409,West Ham United,70000,48400000,SUB,2027,27,2022,-,Left,3,2,2,Morocco,https://cdn.sofifa.net/flags/ma.png,CB,5,Medium,Medium
Nélson Semedo,Nélson Cabral Semedo,80,80,19000000,"RWB,RB",RWB,Portugal,https://cdn.sofifa.net/players/227/928/23_60.png,28,177,69,2012,438,Wolverhampton Wanderers,84000,36100000,SUB,2023,22,2020,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium
C. Aránguiz,Charles Aránguiz,80,80,10500000,"CDM,CM",CDM,Chile,https://cdn.sofifa.net/players/199/042/23_60.png,33,171,69,2099,420,Bayer 04 Leverkusen,53000,17900000,SUB,2023,20,2015,-,Right,4,3,3,-,https://cdn.sofifa.net/flags/cl.png,-,-,Medium,High
Lucas Moura,Lucas Rodrigues M. Silva,80,80,20500000,RW,RW,Brazil,https://cdn.sofifa.net/players/200/949/23_60.png,29,174,70,2090,435,Tottenham Hotspur,105000,39000000,SUB,2024,27,2018,-,Right,4,4,3,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
Jonathan Viera,Jonathan Viera Ramos,80,80,16500000,"CAM,CM,LM",CAM,Spain,https://cdn.sofifa.net/players/198/164/23_60.png,32,171,67,2131,450,Unión Deportiva Las Palmas,14000,26400000,CAM,2026,21,2021,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
Danilo,Danilo Luiz da Silva,80,80,18000000,RB,RB,Brazil,https://cdn.sofifa.net/players/199/304/23_60.png,30,184,78,2118,446,Juventus,95000,30600000,SUB,2024,6,2019,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High
Sergi Roberto,Sergio Roberto Carnicer,80,80,18000000,"RB,CM",RB,Spain,https://cdn.sofifa.net/players/199/564/23_60.png,30,178,68,2055,440,FC Barcelona,125000,36900000,SUB,2023,20,2013,-,Right,3,3,3,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
Allan,Allan Marques Loureiro,80,80,15000000,"CDM,CM",CDM,Brazil,https://cdn.sofifa.net/players/199/914/23_60.png,31,175,74,2081,447,Everton,46000,28500000,SUB,2023,6,2020,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High
J. Cillessen,Jasper Cillessen,80,80,7000000,GK,GK,Netherlands,https://cdn.sofifa.net/players/199/987/23_60.png,33,185,83,1319,447,N.E.C. Nijmegen,13000,10500000,GK,2025,22,2022,-,Right,3,1,3,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
H. Vanaken,Hans Vanaken,80,80,20500000,"CM,CAM",CM,Belgium,https://cdn.sofifa.net/players/200/155/23_60.png,29,195,80,2009,413,Club Brugge KV,34000,28700000,CM,2027,20,2015,-,Right,5,4,1,Belgium,https://cdn.sofifa.net/flags/be.png,SUB,17,High,Medium
S. Ortega,Stefan Ortega,80,80,14500000,GK,GK,Germany,https://cdn.sofifa.net/players/200/159/23_60.png,29,185,88,1400,453,Manchester City,95000,26800000,SUB,2025,18,2022,-,Right,4,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
Danilo Pereira,Danilo Luís Hélio Pereira,80,80,17500000,"CDM,CM",CDM,Portugal,https://cdn.sofifa.net/players/200/888/23_60.png,30,188,83,1983,424,Paris Saint-Germain,76000,32400000,CB,2025,15,2020,-,Right,3,3,3,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,13,Medium,High
Morata,Álvaro Borja Morata Martín,80,80,21000000,ST,ST,Spain,https://cdn.sofifa.net/players/201/153/23_60.png,29,190,84,1926,416,Atlético de Madrid,66000,43100000,ST,2024,19,2020,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,ST,7,Medium,Medium
L. Shaw,Luke Shaw,80,81,22500000,LB,LB,England,https://cdn.sofifa.net/players/205/988/23_60.png,26,181,75,2082,443,Manchester United,105000,44400000,SUB,2023,23,2014,-,Left,2,3,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
C. Biraghi,Cristiano Biraghi,80,80,18500000,LB,LB,Italy,https://cdn.sofifa.net/players/201/389/23_60.png,29,185,78,2159,453,Fiorentina,58000,31500000,LB,2024,3,2018,-,Left,3,3,2,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium
E. Dier,Eric Dier,80,81,20000000,CB,CB,England,https://cdn.sofifa.net/players/202/335/23_60.png,28,188,90,1989,417,Tottenham Hotspur,90000,39500000,CB,2024,15,2014,-,Right,2,2,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High
Deulofeu,Gerard Deulofeu Lázaro,80,80,21500000,"CF,ST",RW,Spain,https://cdn.sofifa.net/players/202/477/23_60.png,28,177,73,1963,423,Udinese Calcio,26000,36600000,ST,2024,10,2021,-,Right,4,4,3,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
T. Hazard,Thorgan Hazard,80,80,20500000,"LM,CF",LM,Belgium,https://cdn.sofifa.net/players/203/486/23_60.png,29,175,71,2059,431,Borussia Dortmund,54000,34900000,SUB,2024,10,2019,-,Right,4,4,2,Belgium,https://cdn.sofifa.net/flags/be.png,SUB,16,High,High
T. Vaclík,Tomáš Vaclík,80,80,0,GK,GK,Czech Republic,https://cdn.sofifa.net/players/204/120/23_60.png,33,188,85,1309,432,Free agent,0,0,-,-,-,2021,-,Right,3,1,1,Czech Republic,https://cdn.sofifa.net/flags/cz.png,GK,1,Medium,Medium
Edgar Badia,Edgar Badia Guardiola,80,81,16000000,GK,GK,Spain,https://cdn.sofifa.net/players/204/234/23_60.png,30,180,70,1257,437,Elche CF,20000,36400000,GK,2023,13,2019,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
K. Zouma,Kurt Zouma,80,82,22500000,CB,CB,France,https://cdn.sofifa.net/players/204/311/23_60.png,27,190,95,1886,395,West Ham United,70000,44400000,CB,2025,4,2021,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
M. Sabitzer,Marcel Sabitzer,80,80,21000000,"CM,CDM,CAM",CM,Austria,https://cdn.sofifa.net/players/204/923/23_60.png,28,178,76,2172,453,FC Bayern München,67000,34700000,SUB,2025,18,2021,-,Right,4,3,3,Austria,https://cdn.sofifa.net/flags/at.png,CAM,9,High,High
K. Kampl,Kevin Kampl,80,80,17500000,"CM,CDM",CM,Slovenia,https://cdn.sofifa.net/players/195/365/23_60.png,31,178,66,2048,423,RB Leipzig,58000,29800000,CDM,2023,44,2017,-,Right,4,3,2,-,-,-,-,High,High
A. Delort,Andy Delort,80,80,20500000,ST,ST,Algeria,https://cdn.sofifa.net/players/193/983/23_60.png,30,181,83,2012,429,OGC Nice,55000,39000000,ST,2024,7,2021,-,Right,3,3,2,-,-,-,-,High,High
B. Leno,Bernd Leno,80,80,14000000,GK,GK,Germany,https://cdn.sofifa.net/players/192/563/23_60.png,30,190,83,1339,450,Fulham,50000,26600000,GK,2025,17,2022,-,Right,3,1,3,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
Alex Sandro,Alex Sandro Lobo Silva,80,80,15500000,LB,LB,Brazil,https://cdn.sofifa.net/players/191/043/23_60.png,31,180,80,2101,446,Juventus,95000,26400000,LB,2023,12,2015,-,Left,3,3,3,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium
Yeray,Yeray Álvarez López,80,82,22500000,CB,CB,Spain,https://cdn.sofifa.net/players/227/950/23_60.png,27,182,79,1903,400,Athletic Club de Bilbao,31000,48900000,CB,2026,5,2014,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
G. Ochoa,Guillermo Ochoa,80,80,0,GK,GK,Mexico,https://cdn.sofifa.net/players/140/233/23_60.png,36,185,78,1265,440,Free agent,0,0,-,-,-,2019,-,Right,3,1,1,Mexico,https://cdn.sofifa.net/flags/mx.png,GK,13,Medium,Medium
H. Herrera,Héctor Herrera,80,80,16500000,CM,CM,Mexico,https://cdn.sofifa.net/players/156/519/23_60.png,32,185,78,2123,451,Houston Dynamo,12000,23900000,CM,2024,16,2022,-,Right,4,3,3,Mexico,https://cdn.sofifa.net/flags/mx.png,CM,16,Medium,Medium
A. Consigli,Andrea Consigli,80,80,2300000,GK,GK,Italy,https://cdn.sofifa.net/players/163/489/23_60.png,35,189,82,1198,433,U.S. Sassuolo Calcio,20000,3900000,GK,2024,47,2014,-,Right,3,1,2,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium
Raúl García,Raúl García Escudero,80,80,9000000,ST,CM,Spain,https://cdn.sofifa.net/players/171/579/23_60.png,35,184,83,2133,421,Athletic Club de Bilbao,28000,18900000,SUB,2023,22,2015,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
José Fonte,José Miguel da Rocha Fonte,80,80,3800000,CB,CB,Portugal,https://cdn.sofifa.net/players/171/791/23_60.png,38,191,81,1736,363,LOSC Lille,26000,7200000,CB,2023,6,2018,-,Right,3,2,3,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,24,Medium,High
M. Hamšík,Marek Hamšík,80,80,9500000,"CM,CDM,CAM",CM,Slovakia,https://cdn.sofifa.net/players/171/877/23_60.png,34,183,73,2135,445,Trabzonspor,45000,18100000,CM,2023,17,2021,-,Right,5,4,3,-,-,-,-,Medium,Low
A. Candreva,Antonio Candreva,80,80,8500000,"RM,CM",RM,Italy,https://cdn.sofifa.net/players/173/221/23_60.png,35,180,70,2063,433,US Salernitana 1919,20000,0,RM,2023,87,2021,TRUE,Right,4,4,3,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium
S. Mignolet,Simon Mignolet,80,80,3600000,GK,GK,Belgium,https://cdn.sofifa.net/players/173/426/23_60.png,34,193,87,1304,447,Club Brugge KV,24000,5000000,GK,2025,22,2019,-,Right,3,1,3,Belgium,https://cdn.sofifa.net/flags/be.png,SUB,12,Medium,Medium
Joselu,José Luis Sanmartín Mato,80,80,17000000,ST,ST,Spain,https://cdn.sofifa.net/players/173/608/23_60.png,32,192,80,1888,393,RCD Espanyol de Barcelona,27000,35700000,ST,2025,9,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
D. Ospina,David Ospina,80,80,7000000,GK,GK,Colombia,https://cdn.sofifa.net/players/176/550/23_60.png,33,183,80,1203,430,Al Nassr,36000,11900000,GK,2024,41,2022,-,Right,3,1,2,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium
E. Capoue,Etienne Capoue,80,80,13000000,"CM,CDM",CM,France,https://cdn.sofifa.net/players/178/213/23_60.png,33,190,80,2090,436,Villarreal CF,39000,27300000,CM,2024,6,2021,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
